,0
0,0.0
1,0.0
2,0.4203834321010078
3,-0.7599444933370985
4,-0.6433693681691307
5,-2.3726975482785595
6,-4.603154308723523
7,-2.184053202587866
8,-1.5346982779145428
9,-5.262836422042788
10,-7.7422420318277965
11,-7.013435328033046
12,-4.506353889386544
13,-4.975099103039095
14,-7.70083951671217
15,-9.935887211883179
16,-8.989996739382685
17,-5.80638378669553
18,-5.257272710190352
19,-7.26830129739475
20,-8.936474990584404
21,-7.443641623435873
22,-6.562725443406436
23,-7.4242309178272325
24,-7.468479137475367
25,-8.6710693610068
26,-8.587360175681436
27,-7.5066183392515535
28,-5.886242852162486
29,-6.6026574774480995
30,-6.713839580659006
31,-4.927099610151861
32,-6.399437625403527
33,-6.907167070025515
34,-6.806211651862637
35,-6.016484505160998
36,-7.866706124198191
37,-10.231694366865387
38,-8.47398318789227
39,-4.713208100452493
40,-4.159899165987809
41,-5.727355470846365
42,-8.387359015490745
43,-8.541490940711887
44,-5.582969704247706
45,-5.557081955726615
46,-7.485072428739285
47,-8.373268147175681
48,-5.974066490487235
49,-2.2384826498364845
50,-2.2268043953511363
51,-7.0135496558048835
52,-8.885625536281774
53,-5.131825470147507
54,-1.7929049565387996
55,-2.7378521774307183
56,-5.405962509967183
57,-5.701634458905083
58,-2.4877680847592627
59,-0.2453491292612477
60,-1.7068667275618086
61,-5.792717167703059
62,-4.17995328171685
63,-0.4299189548918989
64,1.4604513906890833
65,-1.7755323711431834
66,-6.254329330409706
67,-6.514597994675935
68,-1.0695724345103388
69,0.8035909293557724
70,-1.6810189587675541
71,-5.08084415574059
72,-4.6683957480282805
73,0.5500771271194411
74,2.799715434107226
75,-1.2601848550045613
76,-3.0554839485391776
77,-0.02867054471230368
78,4.338757031246788
79,4.009271252743923
80,0.8094233802400459
81,-1.1990189638768174
82,1.551104586146356
83,4.114358642710767
84,3.7277528537298275
85,-1.9742631832280852
86,-3.6848923219679826
87,-0.5769178753258627
88,2.700421134299281
89,0.9016164248180292
90,-5.088492427193705
91,-6.3233600473887455
92,-3.2909538031751744
93,0.22373329857833213
94,0.3986947795021669
95,-2.2283455863821158
96,-1.7518153509266765
97,1.2330247255865794
98,4.047241622735651
99,2.9995466560795965
100,-1.096435672214425
101,-2.1064967927834974
102,1.067591170220392
103,4.968179439218644
104,4.308176960809462
105,1.543888585980549
106,-0.06240520787646181
107,1.6081150748693738
108,2.927276092566254
109,0.41266648367797387
110,-3.1766255185030454
111,-3.346498401485948
112,0.24864953345519614
113,2.494523628610279
114,0.12278306165045105
115,-2.143432964363221
116,0.03696334997805595
117,3.7709825320664856
118,6.077243160444367
119,2.442657126846181
120,-0.41647038626418975
121,0.9516686298679884
122,5.476492660112784
123,7.922501787641245
124,5.509066644996603
125,3.6515619999758306
126,4.020107403306821
127,4.8411956625193575
128,4.83787800402545
129,1.0379076602832735
130,-0.6083649349045352
131,2.5526210812918277
132,4.360668541926822
133,3.467401770638044
134,0.6076956467724335
135,0.4394333642925567
136,3.099197123553377
137,5.114433326143342
138,5.711657186478839
139,5.218691905979976
140,4.446569724430172
141,4.822089816725912
142,5.907834316098376
143,4.54968784544419
144,4.016866740434639
145,3.445917733027111
146,3.108040242362539
147,4.026095526556153
148,3.7351177227565007
149,3.510182912356041
150,3.468055302844846
151,3.701732461750963
152,2.71864503935778
153,0.24001912988277008
154,-0.325988778533833
155,0.9003917303505133
156,3.5059750148319546
157,3.9793746181617458
158,1.179168787760528
159,0.8129244109144578
160,3.538445981438879
161,4.7684912453137756
162,5.603345082391344
163,2.9286663336536725
164,3.3311436973339865
165,4.773660372717227
166,7.4344145197168015
167,6.793227363135525
168,5.970140818617788
169,4.932538679119861
170,5.345750016530955
171,5.837788404432008
172,6.5353067050970814
173,6.9965495368788115
174,6.656203139247232
175,6.952029649797259
176,6.630577956168004
177,7.46142459119304
178,6.07723748062995
179,5.86462050309893
180,7.963472849238125
181,9.2520488837117
182,8.79435863075556
183,7.057082595434905
184,6.316315845095254
185,7.117132840416142
186,8.795881739936071
187,9.069953631802877
188,7.075135610488914
189,4.522594527965893
190,4.7068854419911075
191,7.302719624300257
192,8.128676881049051
193,5.780594486038771
194,2.592886150143095
195,2.509893845973543
196,5.544412766469381
197,7.5083645808429225
198,5.763178097718627
199,0.9154327535978901
200,0.849680798828375
201,3.418422945199565
202,6.594691879461825
203,3.9236866294898816
204,1.137438095745552
205,2.0846029575979927
206,3.800240230030001
207,3.604648033954832
208,0.8697032855514321
209,-0.6862000330531615
210,1.5151476641104342
211,3.9430633510629596
212,4.117567377161304
213,2.5195502588928713
214,2.357675495385488
215,3.8936270269318243
216,6.736502987434792
217,6.030816994117232
218,4.512153318826528
219,1.6163454231066772
220,2.6510239631627885
221,3.8846898203850473
222,2.6125702245158458
223,0.3475755239667663
224,-0.07680433095306988
225,1.501926494892438
226,1.438224796097563
227,1.0907072279446435
228,0.9953707694315856
229,0.3990518198758285
230,0.02642831953131286
231,0.520945463845031
232,0.10322672928379503
233,0.3756078250073454
234,-1.0410660674130485
235,-0.9792404609981105
236,1.2161213909681072
237,3.2673994032352423
238,2.8633306177350293
239,2.060866492170475
240,0.020430427615286906
241,0.44617299534257465
242,3.3861963654364566
243,2.9224330876380886
244,0.5345491881568348
245,-1.880321667524795
246,-1.2261907092897233
247,0.2968077430323999
248,-1.0993535934462524
249,-4.009611298667919
250,-5.13329675842717
251,-4.43702996904856
252,-2.706069034439867
253,-4.914517402114127
254,-8.282502480549814
255,-10.48209105877699
256,-8.205568204910326
257,-6.130456378141075
258,-7.052211468794447
259,-8.311585152566625
260,-7.3438785664804005
261,-4.315247499966397
262,-3.8909025681891807
263,-6.341996755420985
264,-8.780696551440316
265,-7.336461054575343
266,-5.004275986475857
267,-5.2244147343736325
268,-5.504896486362839
269,-8.198845046757386
270,-8.188235380898881
271,-7.149306970924788
272,-6.056903984323849
273,-6.662623702832607
274,-8.92724646010677
275,-9.610659246540239
276,-8.372030336556614
277,-7.911090249462828
278,-8.587404338034778
279,-8.037525186312305
280,-5.809054408600238
281,-5.109223978284451
282,-6.958835547479199
283,-6.81822818004033
284,-6.351334319626774
285,-3.929480121756156
286,-4.303406628116535
287,-6.379534316103761
288,-7.690194053288742
289,-5.216185807836034
290,-2.5003867320358117
291,-2.3349758849860427
292,-5.999819496950668
293,-6.906314659998637
294,-4.971864103264236
295,-2.781196731710204
296,-2.918248816280562
297,-3.9027774418986847
298,-4.608694846210004
299,-5.084108616253641
300,-4.716259265951108
301,-4.493347311306347
302,-3.8148457057130556
303,-2.512237930478893
304,-1.1509422580428819
305,-1.6156772935782875
306,-2.2910505393423994
307,-2.120261641754502
308,-1.0402561073256376
309,0.5368439805522671
310,0.7472130032431893
311,0.9220178967135313
312,2.920540920187702
313,4.095577511885983
314,5.710079790524684
315,6.331598405500312
